Image ID,Image name,Failed,Experiment number,circle ratio,x pixel,y pixel,xScale,yScale,stem diameter,avg. root density,#RTP,TD median,TD avg.,DD90 max.,median Width,max. Width,D10,D20,D30,D40,D50,D60,D70,D80,D90,DS10,DS20,DS30,DS40,DS50,DS60,DS70,DS80,DS90,rel. root mass X,rel. root mass Y,avg. lateral length,nodal root length,lateral branching freq.,avg. nodal root dia,lateral avg. angle,lateral angular range,lateral min. angle,lateral max. angle,dist. to 1st lateral,median lateral dia,mean lateral dia
33,IMG_2258,FALSE,-1,0.008333333,238,240,0.106722689,0.105833333,19.51299927,3.615376803,660,0.252773134,0.283358286,0.475289715,90.07394958,190.6067227,0.376799671,0.487865076,0.5705471,0.640065817,0.699300699,0.758535582,0.812422871,0.86384204,0.914849856,0.720836385,1.094362459,1.357630604,1.599034115,1.612724678,1.819296335,1.845147262,2.070654623,1.982156673,-15.25475704,-294.4546879,34.29881271,81.72779062,69.90909091,1.181163268,48.78558957,71.79510149,14.86357367,86.65867516,2.019282213,0.252773134,0.293888176
39,IMG_2264,FALSE,-1,0.004201681,237,238,0.107172996,0.106722689,18.76711182,7.859806283,621,0.25436627,0.297387322,0.434324425,167.8329114,235.8341772,0.386733902,0.453452289,0.515903801,0.573700543,0.628394104,0.684639255,0.747478666,0.814972847,0.885958107,1.375840921,1.529966768,1.669689972,1.782848667,1.840083066,1.639739852,1.531866993,1.466590033,1.286469075,-10.10056642,-314.4442137,13.72302588,177.3195227,27.63333333,0.924627842,56.70159655,88.61392577,1.307444241,89.92137002,3.636226643,0.213895685,0.23862202
43,IMG_2268,FALSE,-1,0.004237288,237,236,0.107172996,0.107627119,22.45029783,5.680983368,553,0.255441824,0.289372798,0.361249292,62.18043249,223.6700422,0.338235294,0.525910364,0.594887955,0.645308123,0.696778711,0.745098039,0.789915966,0.838585434,0.899509804,0.371432547,1.07943998,1.70991967,2.273014601,1.930200246,2.198588363,2.230610901,1.732101819,1.350322633,12.23584091,-358.6461686,10.35544423,181.5060967,105.625,1.461444544,51.34398522,82.23963362,6.056418248,88.29605186,6.444003433,0.255441824,0.29516732
48,IMG_2273,FALSE,-1,0.008510638,237,235,0.107172996,0.108085106,21.53625562,8.722273022,464,0.255986467,0.288975694,0.362019533,68.64765295,160.1700422,0.3,0.459130435,0.540434783,0.607826087,0.663913043,0.716956522,0.767826087,0.820434783,0.872608696,0.272898345,1.267594474,1.267349331,1.634841842,1.819870725,1.941975274,2.005550541,1.94145665,1.633518187,-1.828487181,-282.3723411,33.14903496,146.8060257,29.0212766,0.841987993,50.78052292,89.2324257,0.647510264,89.87993596,1.183919562,0.215258102,0.239935163
49,IMG_2274,FALSE,-1,0,234,234,0.108547009,0.108547009,17.21171529,8.33860025,426,0.25816975,0.299127062,0.549343284,107.4613398,193.0779915,0.367241379,0.468103448,0.552155172,0.617241379,0.675,0.728017241,0.780172414,0.838362069,0.900862069,0.810073829,1.158913784,1.362159269,1.636514802,1.835122502,1.903826498,1.90401494,1.680272476,1.511720127,5.52518645,-290.3029943,3.478592415,177.691453,36.37777778,0.845904144,67.63978335,78.24671253,11.73762626,89.98433878,1.628205128,0.25816975,0.28149534
50,IMG_2275,FALSE,-1,0.008547009,236,234,0.107627119,0.108547009,16.81456371,6.624822144,498,0.25707581,0.289604487,0.445268365,49.72372881,199.4330508,0.346744696,0.430504755,0.492684711,0.544623263,0.591075347,0.634235552,0.677761522,0.726408193,0.780175567,1.024007812,1.369221091,1.810088392,2.033949553,2.336278639,2.302426435,2.420696951,1.909294574,1.861371985,-9.820363033,-317.8028599,32.71185693,222.1189157,36.69642857,0.896613616,38.90979899,89.89596275,0.011944718,89.90790747,2.377915399,0.216174127,0.254925277
51,IMG_2276,FALSE,-1,0.0041841,240,239,0.105833333,0.106276151,16.10539926,4.03473289,623,0.252242107,0.286626542,0.436896146,113.2416667,181.13375,0.312541694,0.391594396,0.452301534,0.50933956,0.568045364,0.623082055,0.679452969,0.756504336,0.83155437,1.003748801,1.508008339,1.778675264,1.646263725,1.778575625,1.813379657,1.51682988,1.19103394,1.328800232,-3.815716361,-329.3027936,81.99128673,65.22366632,76.875,0.868089625,58.94346972,66.49019645,23.0415626,89.53175905,5.833010809,0.252242107,0.310496099
52,IMG_2277,FALSE,-1,0,239,239,0.106276151,0.106276151,19.59644949,4.084802151,645,0.252768709,0.289440891,0.403600457,89.48576425,217.28159,0.419969512,0.530106707,0.605564024,0.66882622,0.721036585,0.772103659,0.818978659,0.869283537,0.923780488,0.682355167,1.132877276,1.390572137,1.782274202,1.884224863,2.04034442,2.223353796,1.908568404,1.750159958,12.43458471,-333.9366879,77.10334728,65.25355649,204.6666667,0.868519838,69.10161287,36.15691136,49.67497898,85.83189035,5.632635983,0.252768709,0.310822387
62,IMG_2287,FALSE,-1,0,239,239,0.106276151,0.106276151,16.74684359,4.071362574,648,0.252768709,0.281588636,0.403600457,61.95650497,130.1882845,0.291358025,0.426748971,0.511111111,0.574897119,0.630864198,0.689300412,0.746502058,0.801234568,0.857201646,0.474986539,0.994660042,1.556876228,1.790819782,1.606322921,1.837593417,1.724693438,1.798930292,1.787285165,-1.644493998,-289.0942896,60.37688777,238.2711297,24.10752688,0.734753409,58.93682828,88.97398307,0.957010928,89.930994,5.313807531,0.212552301,0.245704057
63,IMG_2288,FALSE,-1,0.004149378,242,241,0.104958678,0.105394191,19.89974874,3.694102612,799,0.250153128,0.290825944,0.433277927,37.36528926,152.5049587,0.295637442,0.479457857,0.563320627,0.623464634,0.675561203,0.72257518,0.766200762,0.811520542,0.859805167,0.329658074,1.140536074,1.466758532,1.808170554,2.042000946,2.227141658,2.169173208,2.289164121,1.650975492,-11.79309721,-280.2541166,9.420508859,155.1352406,50.86206897,1.579508461,70.6026827,85.07303027,4.643606373,89.71663664,5.574351017,0.250153128,0.266845904
66,IMG_2291,FALSE,-1,0.004201681,239,238,0.106276151,0.106722689,17.77638883,7.149303975,694,0.301225848,0.305611934,0.476279885,90.53399582,177.4280335,0.295202952,0.401207648,0.487084871,0.563569272,0.630660852,0.690372358,0.74438108,0.798054344,0.856088561,0.698380509,1.126880175,1.206412765,1.718690608,1.512147828,1.980315251,1.81685236,1.857216152,1.2060074,-5.91633938,-340.1780732,14.9932871,159.4296315,24.14516129,0.856970982,53.94704626,89.82861038,2.63E-13,89.82861038,1.384492458,0.253299736,0.253544242
67,IMG_2292,FALSE,-1,0.004201681,239,238,0.106276151,0.106722689,21.63330765,7.51666489,568,0.253299736,0.289695501,0.404448357,72.48002337,154.7380753,0.308565531,0.445820433,0.525283798,0.604747162,0.670106639,0.71998624,0.772617819,0.821809426,0.871345029,0.439155544,1.125548174,1.177544357,1.450577549,1.811472797,1.97682258,1.862673153,2.062287908,2.026279481,-21.69524374,-350.2971477,12.61740301,122.1548346,18.5,0.829759131,48.30240733,89.38278499,0.050424592,89.43320958,2.236487817,0.21299884,0.246488209
68,IMG_2293,FALSE,-1,0.004201681,239,238,0.106276151,0.106722689,18.86855774,9.890147443,511,0.253299736,0.281473033,0.566395428,66.74133181,145.0536611,0.283614199,0.461097167,0.551452133,0.623879527,0.689135891,0.750806741,0.809250627,0.862674794,0.910720688,0.319105316,1.11006984,1.21886021,1.535757224,1.571107696,1.614944801,1.837917665,2.047202994,1.948652049,-0.152661902,-339.4105306,5.158647825,183.9244981,20.55952381,0.825488378,60.6330405,89.74102096,3.10E-12,89.74102096,1.384492458,0.21299884,0.249650064
69,IMG_2294,FALSE,-1,0.004201681,239,238,0.106276151,0.106722689,19.95686063,8.011539951,679,0.253299736,0.289446914,0.438728012,44.31777752,214.3589958,0.305439331,0.494769874,0.583333333,0.649930265,0.701185495,0.747559275,0.785913529,0.826359833,0.866108787,0.332052238,0.962247164,1.33931296,1.947679769,1.90213525,2.546209767,2.902503504,2.373217392,2.226213359,6.678172112,-346.351262,3.078974299,176.1500404,22.05333333,0.731527684,55.78650617,87.81980928,0.54547105,88.36528033,1.490991878,0.21299884,0.240368396
70,IMG_2295,FALSE,-1,0.004237288,237,236,0.107172996,0.107627119,20,7.826377341,557,0.255441824,0.294308139,0.543538702,115.4253165,206.5223629,0.349176647,0.447230539,0.519461078,0.582709581,0.64258982,0.700224551,0.758607784,0.825224551,0.894835329,0.711430547,1.226839903,1.537085082,1.686048529,1.66693647,1.769732372,1.601210743,1.542705498,1.351557059,-6.823142091,-316.1753268,10.16027033,215.0149145,29.01449275,0.687646654,57.49597019,89.62073002,2.38E-13,89.62073002,1.396200744,0.214800114,0.244659522
72,IMG_2297,FALSE,-1,0.008510638,237,235,0.107172996,0.108085106,15.58786325,10.37919432,634,0.255986467,0.288659526,0.255986467,114.2010714,191.035865,0.379773692,0.46039604,0.525459689,0.588048091,0.644625177,0.701202263,0.76096181,0.824611033,0.898868458,0.854766143,1.524687836,1.637966703,1.688979676,1.740527934,1.823464734,1.602839633,1.474971188,1.125673963,5.098320549,-346.8505623,17.6189303,232.5863794,26.67901235,0.794582003,61.17085659,89.43221222,0.53098137,89.96319359,0.753403358,0.215258102,0.234764093
73,IMG_2298,FALSE,-1,0.004219409,238,237,0.106722689,0.107172996,20.0124883,5.057980309,785,0.25436627,0.283763056,0.359728229,71.50420168,208.1092437,0.345765075,0.483792262,0.548623214,0.606831649,0.653886372,0.700941094,0.754966887,0.811781108,0.875566399,0.48104271,1.482702436,1.479519305,1.945937033,2.170617096,2.151514337,1.714615092,1.755029365,1.278915055,7.968096066,-355.6186033,18.1262062,201.4897351,20.47826087,0.764317051,58.50097025,89.94941527,4.40E-14,89.94941527,2.459800376,0.213895685,0.239881475
74,IMG_2299,FALSE,-1,0.008474576,238,236,0.106722689,0.107627119,19.90025632,5.779091468,371,0.254906316,0.295934282,0.38117385,39.43403361,154.107563,0.336078431,0.533333333,0.608235294,0.66627451,0.72,0.77254902,0.821568627,0.870196078,0.918039216,0.316751793,1.205878048,1.495081437,1.933277546,1.77504539,2.025646167,2.025634049,2.070489298,2.077799682,-6.781318372,-325.3524938,12.15566982,162.0484546,31.5,0.750957025,53.34243798,88.94716753,0.38940992,89.33657745,4.394171058,0.214349808,0.242115852
75,IMG_2300,FALSE,-1,0,236,236,0.107627119,0.107627119,18.95313642,4.397111473,407,0.304415462,0.305742933,0.511963741,77.27626462,165.9610169,0.38721351,0.488138319,0.562927222,0.628065943,0.688781665,0.744672296,0.800160836,0.851226377,0.897064737,0.670946402,1.180556998,1.470656105,1.626647031,1.748014956,1.801170575,1.815401029,2.140368699,2.234708755,7.260687633,-309.3663313,4.197457627,166.4991525,48.34375,0.803111147,63.31775137,86.94465333,2.610830499,89.55548383,2.044915254,0.255981871,0.275535946
76,IMG_2301,FALSE,-1,0,238,238,0.106722689,0.106722689,14.22762436,4.233157963,389,0.253830762,0.287449388,0.405296257,40.66634716,175.6121849,0.37286791,0.529551765,0.607298691,0.649345498,0.687028957,0.727092424,0.771915906,0.822292741,0.880602935,0.249173951,1.005798129,1.70156631,2.836245163,2.382584514,2.584831479,2.037499033,1.68938608,1.540008009,9.106299337,-315.4423335,8.018591257,171.8235294,32.2,0.729387548,62.3036211,87.80005303,1.662102519,89.46215555,2.881512605,0.253830762,0.273044997
77,IMG_2302,FALSE,-1,0.012658228,240,237,0.105833333,0.107172996,19.93215557,6.23234631,400,0.253308642,0.287384883,0.358232517,31.00916667,185.5258333,0.26468222,0.506838294,0.590506838,0.653258246,0.705551086,0.752212389,0.788012872,0.826629123,0.87851971,0.2671062,1.059984425,1.434106036,1.832814167,1.988925532,2.391348402,2.888750235,2.142213226,1.799517024,-11.21338876,-313.8279437,10.24194543,161.778307,31,0.890207442,57.20557768,87.887631,1.465102491,89.35273349,3.088591772,0.213006329,0.237651887
78,IMG_2303,FALSE,-1,0,237,237,0.107172996,0.107172996,24.85693665,9.616675253,443,0.303131008,0.303011477,0.320522017,104.6812236,233.6907173,0.283855904,0.402268179,0.482988659,0.553368913,0.617411608,0.676784523,0.731821214,0.784856571,0.844896598,0.625360628,1.119767702,1.349586463,1.486108114,1.638081191,1.772670193,1.839183039,2.319022524,1.211268789,26.96044909,-354.5415153,7.669858742,190.7679325,29.66666667,0.743254566,56.75596809,89.86303745,1.90E-12,89.86303745,1.500421941,0.214345992,0.24264404
80,IMG_2305,FALSE,-1,0.004237288,237,236,0.107172996,0.107627119,20.12335408,3.912470055,371,0.255441824,0.297440002,0.40786867,77.05738397,146.1839662,0.334561286,0.466175486,0.532819826,0.589752177,0.64300067,0.696249163,0.755190891,0.813462827,0.872404555,0.379841204,1.340714662,1.652472215,1.712179972,1.911607068,1.782235422,1.720542705,1.764518799,1.615460982,-6.821158961,-356.3978623,2.490090215,137.5794733,32.025,0.639548895,54.3957588,84.23422864,2.758545216,86.99277386,2.899801545,0.214800114,0.242624917
81,IMG_2306,FALSE,-1,0.008438819,239,237,0.106276151,0.107172996,19.49358869,7.420253333,336,0.253835244,0.290295239,0.379572222,30.39495962,168.2351464,0.372101862,0.538958571,0.611554542,0.672367921,0.728240213,0.779171418,0.826301786,0.868871152,0.911820601,0.233032946,1.174818249,1.451423067,1.751661551,1.969458592,2.020207243,2.258052961,2.29725103,2.361368162,-13.89778217,-336.1569309,16.57612257,147.4933602,38.38888889,0.769463393,40.77925757,86.61773179,1.425596657,88.04332845,2.134491464,0.213449146,0.247527961
82,IMG_2307,FALSE,-1,0,236,236,0.107627119,0.107627119,18.66460881,13.01411086,384,0.255981871,0.299380499,0.362013033,97.13343516,172.9567797,0.363362069,0.456896552,0.534051724,0.60387931,0.659913793,0.713362069,0.768103448,0.819827586,0.881034483,0.729027202,1.184521039,1.398033266,1.763191894,1.819796311,1.855835202,1.864425665,1.811333359,1.397432357,4.801381062,-290.1313908,7.717721614,141.6372881,24.83018868,0.808423446,60.95075162,87.69093016,1.216113717,88.90704387,3.551694915,0.255981871,0.27289278
83,IMG_2308,FALSE,-1,0.004201681,239,238,0.106276151,0.106722689,18.79187418,12.54201839,386,0.253299736,0.290167324,0.438728012,73.54309623,177.2686192,0.372114932,0.512482336,0.591144607,0.648139425,0.697597739,0.752708431,0.804992935,0.858219501,0.917098446,0.497721992,1.038399076,1.61880925,2.023068326,1.780440978,1.842655832,1.957227426,1.910799131,1.62697794,-12.46913075,-273.8151161,18.90097751,159.5361309,24.55737705,0.814813607,60.14618057,89.91574548,0.006705514,89.92245099,1.703990718,0.253299736,0.257073649
84,IMG_2309,FALSE,-1,0,239,239,0.106276151,0.106276151,18.38268392,4.908379933,510,0.252768709,0.286380897,0.475281394,51.1177906,157.4481172,0.333194676,0.473377704,0.547836938,0.610648918,0.663061564,0.708818636,0.754991681,0.800332779,0.851497504,0.550845263,1.130441603,1.524431522,1.585822649,2.11698654,2.203533882,2.156873248,2.272760411,1.438714764,-7.538207013,-294.116281,20.3092227,248.8987448,36.59375,0.575108181,47.34295232,89.8799366,0.063785275,89.94372188,2.656903766,0.212552301,0.25196783
85,IMG_2310,FALSE,-1,0.0041841,240,239,0.105833333,0.106276151,19.11954783,5.793349254,442,0.252242107,0.28679055,0.356724209,20.42583333,189.1770833,0.342561831,0.407530454,0.458471761,0.506459948,0.550756737,0.589516427,0.626430417,0.666297527,0.713916574,0.764555702,1.952781797,2.161160609,2.039523262,2.50164055,2.617812866,2.761501741,2.071484145,2.132062415,13.89558683,-304.5406292,9.98881719,213.4881956,38.71153846,0.845649189,62.22840525,82.36199546,7.63208543,89.99408089,4.242189679,0.212109484,0.264084635
86,IMG_2311,FALSE,-1,0.004132231,241,242,0.105394191,0.104958678,18.85126599,4.284340676,292,0.29748388,0.307863957,0.399424111,35.83412782,127.3688797,0.305307656,0.49882574,0.562705496,0.616721465,0.66322217,0.710662283,0.756693283,0.8046031,0.854391733,0.349473958,1.137199428,1.617683271,2.102279211,2.146663535,2.109335238,2.058178802,2.029167889,1.545037453,-1.83302963,-263.5294194,13.05300228,79.93409005,30.4,0.86682357,53.92096288,88.75888827,0.643115495,89.40200377,1.262117211,0.250153128,0.256577588
